,x,y,time,theta
0.0,1007.5,-18.0,1.6670024394989014,-0.313715784975014
1.0,704.8026733398438,6337.33837890625,2.189239978790283,2.0562859682127748
2.0,707.78857421875,3297.674560546875,2.5763072967529297,1.497101199461356
3.0,706.7000732421875,2934.75390625,2.6346898078918457,1.3822326689722686
4.0,699.1422729492188,2634.691650390625,2.7020297050476074,1.2746065681411975
5.0,699.1357421875,2384.5,2.760385274887085,1.1749768448880042
6.0,694.8221435546875,2204.5,2.824186086654663,1.0972193872474012
7.0,689.2821044921875,2090.67236328125,2.88393235206604,1.045262795090128
8.0,689.5364379882812,2034.3173828125,2.9430243968963623,1.01871375026498
9.0,683.3428344726562,2040.672607421875,3.003969669342041,1.0217354796486928
10.0,655.0,2108.137451171875,3.063052177429199,1.0533786848947753
11.0,625.8565673828125,2240.291748046875,3.127098798751831,1.1131041678408164
12.0,615.0618896484375,2448.407470703125,3.197643995285034,1.2013341507592905
13.0,587.5,2714.5,3.2648279666900635,1.3044418475993358
14.0,587.5,3058.12939453125,3.3255066871643066,1.4230521490608348
15.0,467.49981689453125,6230.5859375,3.668771743774414,2.044202244080856
16.0,437.5,6197.376953125,3.8409407138824463,2.0403711063920813
17.0,406.8001708984375,5088.783203125,4.002183675765991,1.8892155386019678
18.0,407.5,4828.66455078125,4.054990768432617,1.845820827297331
19.0,398.28924560546875,4637.8994140625,4.123783588409424,1.8116280146497121
20.0,390.7847595214844,4512.0244140625,4.189009666442871,1.787873748803855
21.0,380.0350646972656,4452.42724609375,4.258033752441406,1.7762776960996265
22.0,370.412841796875,4448.70556640625,4.322262525558472,1.7755458990868036
23.0,347.5,4499.5,4.386905670166016,1.7854558343322495
24.0,334.3827819824219,4622.734375,4.445807456970215,1.8088179136256615
25.0,295.00006103515625,4794.97314453125,4.509196519851685,1.8399338699521006
26.0,272.87103271484375,5041.572265625,4.573606014251709,1.8816005428620557
27.0,250.0,5347.0,4.635425567626953,1.9289617232257446
28.0,205.0,6374.5,4.82878041267395,2.0604113489130325
29.0,190.0,6374.5,4.944766283035278,2.0604113489130325
30.0,190.0,6188.42236328125,4.99992823600769,2.039332096815
31.0,177.23492431640625,5934.32958984375,5.0597991943359375,2.0087514180530213
32.0,175.0,5722.0,5.130536794662476,1.9814648924315013
33.0,174.04000854492188,5573.79345703125,5.204859256744385,1.9614051217019555
34.0,181.09547424316406,5494.70751953125,5.273604154586792,1.9503390926018864
35.0,177.50955200195312,5467.0,5.349079608917236,1.9464005022961641
36.0,167.5,5489.5,5.42392635345459,1.9496013190454555
37.0,157.38253784179688,5587.455078125,5.4913084506988525,1.963290747076923
38.0,137.5,5737.0,5.557294130325317,1.9834474712069523
39.0,115.0,5949.26220703125,5.625711679458618,2.0106091897273304
40.0,137.5,6194.5,5.690992116928101,2.0400375684453067
