0,000;144,1;152,9
0,033;144,1;152,9
0,067;144,1;152,9
0,100;144,1;152,9
0,133;144,1;152,9
0,166;144,1;152,9
0,200;144,1;152,9
0,233;144,0;152,9
0,266;144,0;152,9
0,300;144,0;152,9
0,333;144,0;152,9
0,366;144,0;152,9
0,399;144,0;152,9
0,433;144,0;152,8
0,466;144,0;152,8
0,499;144,0;152,8
0,533;144,0;152,9
0,566;144,0;152,9
0,599;144,0;152,9
0,633;144,0;152,9
0,666;144,0;152,9
0,699;144,0;152,8
0,732;144,0;152,9
0,766;144,1;152,9
0,799;144,1;152,9
0,832;144,1;152,9
0,866;144,1;152,8
0,899;144,1;152,8
0,932;144,1;152,8
0,965;144,1;152,8
0,999;144,1;152,8
1,032;144,1;152,8
1,065;144,1;152,8
1,099;144,1;152,8
1,132;144,1;152,8
1,165;144,1;152,9
1,198;144,0;152,9
1,232;144,0;152,9
1,265;144,0;152,9
1,298;144,0;152,9
1,332;144,0;152,9
1,365;144,1;152,9
1,398;144,1;152,9
1,431;144,0;152,8
1,465;144,0;152,8
1,498;144,0;152,8
1,531;144,0;152,8
1,565;144,0;152,8
1,598;144,0;152,9
1,631;144,0;152,9
1,665;144,0;152,9
1,698;144,0;152,9
1,731;144,0;152,9
1,764;144,0;152,9
1,798;144,0;152,9
1,831;144,1;152,9
1,864;144,1;152,9
1,898;144,1;152,9
1,931;144,1;152,9
1,964;144,3;153,3
1,997;145,0;154,2
2,031;146,3;156,4
2,064;148,4;160,2
2,097;151,0;165,2
2,131;154,0;171,6
2,164;157,4;179,4
2,197;160,8;188,6
2,230;163,8;199,1
2,264;166,1;210,5
2,297;167,8;221,7
2,330;168,9;233,1
2,364;169,0;244,4
2,397;168,4;255,5
2,430;167,1;266,7
2,463;165,0;277,7
2,497;162,4;288,7
2,530;158,9;299,6
2,563;155,0;309,7
2,597;150,4;319,4
2,630;145,2;329,0
2,663;139,4;338,2
2,697;133,0;347,0
2,730;126,0;355,5
2,763;118,4;363,4
2,796;110,5;370,7
2,830;101,9;377,7
2,863;93,25;384,0
2,896;84,14;389,8
2,930;74,44;395,0
2,963;64,78;399,4
2,996;54,95;403,3
3,029;45,01;406,5
3,063;34,94;409,0
3,096;24,48;411,1
3,129;14,03;412,3
3,163;3,506;413,2
3,196;-7,356;413,3
3,229;-18,08;412,5
3,262;-28,58;411,4
3,296;-39,27;409,4
3,329;-49,68;406,7
3,362;-59,60;403,6
3,396;-69,82;399,6
3,429;-79,64;394,9
3,462;-88,85;389,9
3,495;-98,07;384,1
3,529;-107,3;377,7
3,562;-115,5;370,7
3,595;-123,7;363,2
3,629;-131,1;355,2
3,662;-138,3;346,7
3,695;-144,6;338,1
3,728;-150,4;329,0
3,762;-155,8;319,6
3,795;-160,4;310,3
3,828;-164,5;300,1
3,862;-168,2;289,7
3,895;-170,8;279,4
3,928;-173,1;268,8
3,962;-174,9;258,0
3,995;-175,7;247,1
4,028;-175,7;236,4
4,061;-175,5;225,1
4,095;-174,4;213,8
4,128;-172,7;203,1
4,161;-170,3;192,3
4,195;-167,1;181,7
4,228;-163,2;171,5
4,261;-158,7;161,4
4,294;-153,5;151,6
4,328;-150,6;146,4
4,361;-150,6;146,4
4,394;-150,8;146,8
4,428;-150,5;146,7
4,461;-150,4;146,8
4,494;-150,6;146,7
4,527;-150,6;146,7
4,561;-150,6;146,7
4,594;-150,6;146,6
4,627;-150,6;146,6
4,661;-150,6;146,6
4,694;-150,6;146,6
4,727;-150,6;146,6
4,760;-150,6;146,6
4,794;-150,6;146,6
4,827;-150,6;146,6
4,860;-150,5;146,6
4,894;-150,5;146,6
4,927;-150,5;146,6
4,960;-150,5;146,6
4,994;-150,5;146,6
5,027;-150,5;146,6
5,060;-150,5;146,6
5,093;-150,5;146,6
5,127;-150,5;146,6
5,160;-150,6;146,6
5,193;-150,6;146,6
5,227;-150,6;146,6
5,260;-150,6;146,6
5,293;-150,6;146,6
5,326;-150,6;146,6
5,360;-150,6;146,6
5,393;-150,6;146,6
5,426;-150,6;146,6
5,460;-150,6;146,6
5,493;-150,6;146,6
5,526;-150,5;146,7
5,559;-150,5;146,7
5,593;-150,5;146,7
5,626;-150,5;146,7
5,659;-150,6;146,7
5,693;-150,6;146,7
5,726;-150,9;146,7
5,759;-151,3;146,7
5,792;-151,5;147,0
5,826;-151,6;147,5
5,859;-151,8;148,4
5,892;-152,7;149,5
5,926;-154,0;152,2
5,959;-156,3;155,9
5,992;-158,9;160,9
6,025;-162,3;167,7
6,059;-165,3;175,5
6,092;-168,1;184,1
6,125;-170,5;193,0
6,159;-172,6;201,9
6,192;-174,0;210,7
